Site,Day,Month,Year,SurveyDate,Classcode,Size,Amount,Lat,Lon,Depth_ft,Temp10m
120 Reef,14,10,2012,14-Oct-12,red urchin,2,2,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,red urchin,3,4,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,red urchin,4,7,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,red urchin,5,23,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,red urchin,6,22,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,red urchin,7,25,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,red urchin,8,11,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,red urchin,9,10,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,red urchin,10,13,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,red urchin,11,6,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,red urchin,12,1,33.737919,-118.392014,20,17
120 Reef,15,6,2013,15-Jun-13,purple urchin,2,2,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,purple urchin,3,11,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,purple urchin,4,55,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,purple urchin,5,68,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,purple urchin,6,38,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,purple urchin,7,5,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,red urchin,3,5,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,red urchin,4,7,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,red urchin,5,12,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,red urchin,6,24,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,red urchin,7,51,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,red urchin,8,38,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,red urchin,9,25,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,red urchin,10,19,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,red urchin,11,4,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,red urchin,12,2,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,red urchin,13,1,33.737919,-118.392014,10,16
120 Reef,15,6,2013,15-Jun-13,red urchin,14,1,33.737919,-118.392014,10,16
120 Reef,14,6,2014,14-Jun-14,purple urchin,1,11,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,purple urchin,2,20,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,purple urchin,3,45,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,purple urchin,4,64,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,purple urchin,5,75,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,purple urchin,6,25,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,purple urchin,7,6,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,purple urchin,8,2,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,purple urchin,9,1,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,purple urchin,10,1,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,red urchin,3,3,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,red urchin,4,5,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,red urchin,5,14,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,red urchin,6,22,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,red urchin,7,40,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,red urchin,8,46,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,red urchin,9,51,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,red urchin,10,32,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,red urchin,11,21,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,red urchin,12,7,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,red urchin,13,1,33.737919,-118.392014,32,15
120 Reef,14,6,2014,14-Jun-14,red urchin,14,1,33.737919,-118.392014,32,15
120 Reef,21,8,2015,21-Aug-15,purple urchin,2,6,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,purple urchin,3,22,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,purple urchin,4,63,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,purple urchin,5,58,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,purple urchin,6,27,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,purple urchin,7,6,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,red urchin,3,5,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,red urchin,4,8,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,red urchin,5,19,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,red urchin,6,18,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,red urchin,7,15,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,red urchin,8,43,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,red urchin,9,40,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,red urchin,10,26,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,red urchin,11,13,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,red urchin,12,9,33.737919,-118.392014,31,20
120 Reef,21,8,2015,21-Aug-15,red urchin,13,3,33.737919,-118.392014,31,20
Abalone Cove,29,9,2007,29-Sep-07,purple urchin,3,4,33.736149,-118.37632,,18
Abalone Cove,29,9,2007,29-Sep-07,purple urchin,4,41,33.736149,-118.37632,,18
Abalone Cove,29,9,2007,29-Sep-07,purple urchin,5,103,33.736149,-118.37632,,18
Abalone Cove,29,9,2007,29-Sep-07,purple urchin,6,78,33.736149,-118.37632,,18
Abalone Cove,29,9,2007,29-Sep-07,purple urchin,7,14,33.736149,-118.37632,,18
Abalone Cove,29,9,2007,29-Sep-07,red urchin,5,6,33.736149,-118.37632,,18
Abalone Cove,29,9,2007,29-Sep-07,red urchin,6,17,33.736149,-118.37632,,18
Abalone Cove,29,9,2007,29-Sep-07,red urchin,7,13,33.736149,-118.37632,,18
Abalone Cove,29,9,2007,29-Sep-07,red urchin,8,23,33.736149,-118.37632,,18
Abalone Cove,29,9,2007,29-Sep-07,red urchin,9,10,33.736149,-118.37632,,18
Abalone Cove,29,9,2007,29-Sep-07,red urchin,10,19,33.736149,-118.37632,,18
Abalone Cove,29,9,2007,29-Sep-07,red urchin,11,27,33.736149,-118.37632,,18
Abalone Cove,29,9,2007,29-Sep-07,red urchin,12,9,33.736149,-118.37632,,18
Abalone Cove,9,8,2008,9-Aug-08,red urchin,4,5,33.736149,-118.37632,35,12
Abalone Cove,9,8,2008,9-Aug-08,red urchin,5,13,33.736149,-118.37632,35,12
Abalone Cove,9,8,2008,9-Aug-08,red urchin,6,11,33.736149,-118.37632,35,12
Abalone Cove,9,8,2008,9-Aug-08,red urchin,7,30,33.736149,-118.37632,35,12
Abalone Cove,9,8,2008,9-Aug-08,red urchin,8,30,33.736149,-118.37632,35,12
Abalone Cove,9,8,2008,9-Aug-08,red urchin,9,19,33.736149,-118.37632,35,12
Abalone Cove,9,8,2008,9-Aug-08,red urchin,10,3,33.736149,-118.37632,35,12
Abalone Cove,7,6,2009,7-Jun-09,purple urchin,2,1,33.736149,-118.37632,28.5,12
Abalone Cove,7,6,2009,7-Jun-09,purple urchin,3,3,33.736149,-118.37632,28.5,12
Abalone Cove,7,6,2009,7-Jun-09,purple urchin,4,6,33.736149,-118.37632,28.5,12
Abalone Cove,7,6,2009,7-Jun-09,purple urchin,5,13,33.736149,-118.37632,28.5,12
Abalone Cove,7,6,2009,7-Jun-09,purple urchin,6,5,33.736149,-118.37632,28.5,12
Abalone Cove,7,6,2009,7-Jun-09,purple urchin,7,1,33.736149,-118.37632,28.5,12
Abalone Cove,7,6,2009,7-Jun-09,red urchin,5,2,33.736149,-118.37632,28.5,12
Abalone Cove,7,6,2009,7-Jun-09,red urchin,6,12,33.736149,-118.37632,28.5,12
